playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2507232","null","Mason Crosby","K","GB","K","GB","null","2.4","null","null","null","3","null","null","0.1","null","null","null","2.4","2.4","2.5524","null",
"2507282","null","Matt Moore","QB","MIA","QB","MIA","null","0.008","null","null","null","58","null","null","0.004","null","null","null","0.008","0.008","null","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","null","2.1","null","null","null","10","null","null","0","null","null","null","2.1","2.1","null","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","null","1.8","null","null","null","17","null","null","2.2204e-16","null","null","null","1.8","1.8","2.2229","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","1.58","null","null","null","74","null","null","0.045","null","null","null","1.58","1.58","7.5734","null",
"2507463","null","Connor Barth","K","CHI","K","CHI","null","1.8","null","null","null","18","null","null","0.05","null","null","null","1.8","1.8","8.1536","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","7.87","null","null","null","44","null","null","0.13","null","null","null","7.87","7.87","4.6107","null",
"2507828","null","Logan Paulsen","TE","CHI","TE","CHI","null","3.46","null","null","null","42","null","null","0.145","null","null","null","3.46","3.46","9.583","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","6.36","null","null","null","60","null","null","0.09","null","null","null","6.36","6.36","4.9121","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","null","6.9","null","null","null","39","null","null","0.77","null","null","null","6.9","6.9","null","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","17.54","null","null","null","1","null","null","2.1","null","null","null","17.54","17.54","1.2958","null",
"2508101","null","James Develin","RB","NE","RB","NE","null","0.21","null","null","null","105","null","null","0.005","null","null","null","0.21","0.21","null","null",
"2508112","null","Rob Housler","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"2508115","null","Vincent Brown","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","0.33","null","null","null","140","null","null","0.01","null","null","null","0.33","0.33","7.0819","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","6.25","null","null","null","62","null","null","0.095","null","null","null","6.25","6.25","null","null",
"2530598","null","Jeremy Ross","WR","NYJ","WR","NYJ","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","4.03","null","null","null","91","null","null","0.025","null","null","null","4.03","4.03","null","null",
"2530690","null","DuJuan Harris","RB","SF","RB","SF","null","3.47","null","null","null","61","null","null","0.155","null","null","null","3.47","3.47","4.4432","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","7.64","null","null","null","46","null","null","0.08","null","null","null","7.64","7.64","null","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","13.67","null","null","null","6","null","null","1.27","null","null","null","13.67","13.67","2.682","null",
"2530763","null","Patrick DiMarco","RB","ATL","RB","ATL","null","0.28","null","null","null","96","null","null","0.015","null","null","null","0.28","0.28","8.8066","null",
"2531218","null","Chase Reynolds","RB","LA","RB","LA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","null","8.49","null","null","null","39","null","null","0.18","null","null","null","8.49","8.49","4.008","null",
"2532797","null","Brandon Bolden","RB","NE","RB","NE","null","0.29","null","null","null","93","null","null","0","null","null","null","0.29","0.29","null","null",
