playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","13.92","null","null","null","6","null","null","0.025","null","null","null","13.92","13.92","null","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","null","8.44","null","null","null","45","null","null","0.515","null","null","null","8.44","8.44","null","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","null","6.16","null","null","null","64","null","null","0.095","null","null","null","6.16","6.16","6.718","null",
"2532888","null","Case Keenum","QB","LA","QB","LA","null","0.224","null","null","null","35","null","null","0.002","null","null","null","0.224","0.224","null","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","13.13","null","null","null","14","null","null","0.155","null","null","null","13.13","13.13","3.5726","null",
"2532933","null","Brian Quick","WR","LA","WR","LA","null","5.98","null","null","null","66","null","null","0.03","null","null","null","5.98","5.98","6.4761","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","null","13.976","null","null","null","28","null","null","3.152","null","null","null","13.976","13.976","6.2895","null",
"2532970","null","Brandon Weeden","QB","HOU","QB","HOU","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","19.614","null","null","null","6","null","null","0.269","null","null","null","19.614","19.614","5.1573","null",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","null","0.63","null","null","null","139","null","null","0.045","null","null","null","0.63","0.63","3.332","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","18.248","null","null","null","10","null","null","0.516","null","null","null","18.248","18.248","5.1573","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","null","13.67","null","null","null","11","null","null","0.345","null","null","null","13.67","13.67","3.2863","null",
"2533040","null","Mohamed Sanu","WR","ATL","WR","ATL","null","8.93","null","null","null","39","null","null","0.15","null","null","null","8.93","8.93","4.6622","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","null","5.15","null","null","null","26","null","null","0.165","null","null","null","5.15","5.15","4.8673","null",
"2533349","null","Austin Davis","QB","DEN","QB","DEN","null","0.016","null","null","null","59","null","null","0.016","null","null","null","0.016","0.016","null","null",
"2533353","null","Cory Harkey","TE","LA","TE","LA","null","0.39","null","null","null","76","null","null","0","null","null","null","0.39","0.39","null","null",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","null","15.322","null","null","null","21","null","null","0.28","null","null","null","15.322","15.322","5.1573","null",
"2533437","null","Ronnie Hillman","RB","SD","RB","SD","null","0.19","null","null","null","112","null","null","0.015","null","null","null","0.19","0.19","null","null",
"2533457","null","Alfred Morris","RB","DAL","RB","DAL","null","2.87","null","null","null","56","null","null","0.135","null","null","null","2.87","2.87","4.5266","null",
"2533460","null","Robert Turbin","RB","IND","RB","IND","null","3.28","null","null","null","52","null","null","0.105","null","null","null","3.28","3.28","3.8588","null",
"2534241","null","Derek Carrier","TE","WAS","TE","WAS","null","1.35","null","null","null","58","null","null","0.265","null","null","null","1.35","1.35","5.1717","null",
"2534436","null","Deonte Thompson","WR","CHI","WR","CHI","null","3.84","null","null","null","88","null","null","0.04","null","null","null","3.84","3.84","4.6017","null",
"2534571","null","Bobby Rainey","RB","NYG","RB","NYG","null","0.85","null","null","null","79","null","null","0.06","null","null","null","0.85","0.85","5.6715","null",
"2534770","null","Jonathan Grimes","RB","HOU","RB","HOU","null","0.92","null","null","null","77","null","null","0.045","null","null","null","0.92","0.92","7.8659","null",
"2534797","null","Greg Zuerlein","K","LA","K","LA","null","1.4","null","null","null","28","null","null","1.4","null","null","null","1.4","1.4","4.5293","null",
"2534820","null","Garrett Celek","TE","SF","TE","SF","null","3.18","null","null","null","34","null","null","0.31","null","null","null","3.18","3.18","2.7362","null",
"2535698","null","Cole Beasley","WR","DAL","WR","DAL","null","9.37","null","null","null","37","null","null","0.24","null","null","null","9.37","9.37","4.8436","null",
"2535708","null","Lance Dunbar","RB","DAL","RB","DAL","null","1.49","null","null","null","70","null","null","0.055","null","null","null","1.49","1.49","7.4843","null",
