playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","2.5","null","null","null","26","null","null","0.15","null","null","null","2.5","2.5","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","13.96","null","null","null","19","null","null","0.14","null","null","null","13.96","13.96","5.9121","null",
"2495150","null","Kai Forbath","K","MIN","K","MIN","null","5","null","null","null","15","null","null","0","null","null","null","5","5","6.1767","null",
"2495158","null","Leonard Hankerson","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0.4","null","null","null","142","null","null","0","null","null","null","0.4","0.4","null","null",
"2495161","null","Roy Helu","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495162","null","Alex Henery","K","FA","K","FA","null","0","null","null","null","31","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","NO","RB","NO","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","16.42","null","null","null","9","null","null","0.26","null","null","null","16.42","16.42","7.4218","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","3.7","null","null","null","19","null","null","0","null","null","null","3.7","3.7","3.1421","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","4.5","null","null","null","65","null","null","0.05","null","null","null","4.5","4.5","4.5688","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.5","null","null","null","58","null","null","0","null","null","null","0.5","0.5","10.8546","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","20.54","null","null","null","3","null","null","0.75","null","null","null","20.54","20.54","4.7798","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","3","null","null","null","44","null","null","0.15","null","null","null","3","3","3.8816","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","2","null","null","null","23","null","null","0","null","null","null","2","2","4.5293","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.3","null","null","null","28","null","null","0.25","null","null","null","2.3","2.3","4.4614","null",
"2495314","null","Bruce Miller","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","16.9","null","null","null","4","null","null","1.6","null","null","null","16.9","16.9","3.5962","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","0.6","null","null","null","132","null","null","0","null","null","null","0.6","0.6","2.4364","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.2","null","null","null","94","null","null","0","null","null","null","0.2","0.2","null","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","2.3","null","null","null","95","null","null","0.05","null","null","null","2.3","2.3","3.9595","null",
"2495425","null","Scott Tolzien","QB","IND","QB","IND","null","0.2","null","null","null","50","null","null","0","null","null","null","0.2","0.2","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","3.7","null","null","null","19","null","null","0.1","null","null","null","3.7","3.7","2.6347","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.12","null","null","null","56","null","null","0.01","null","null","null","0.12","0.12","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.42","null","null","null","33","null","null","0","null","null","null","0.42","0.42","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","5.8","null","null","null","48","null","null","0.1","null","null","null","5.8","5.8","4.386","null",
"2495449","null","Tandon Doss","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","0.9","null","null","null","121","null","null","0","null","null","null","0.9","0.9","4.5079","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","8.4","null","null","null","34","null","null","0.1","null","null","null","8.4","8.4","1.5835","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","13.06","null","null","null","26","null","null","1","null","null","null","13.06","13.06","5.5347","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","3.1","null","null","null","89","null","null","0.05","null","null","null","3.1","3.1","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","0","null","null","null","99","null","null","0","null","null","null","0","0","4.1671","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","6.9","null","null","null","32","null","null","0.45","null","null","null","6.9","6.9","null","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","0","null","null","null","99","null","null","0","null","null","null","0","0","3.8816","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","3.2","null","null","null","41","null","null","0.05","null","null","null","3.2","3.2","3.1204","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","1.7","null","null","null","59","null","null","0","null","null","null","1.7","1.7","null","null",
"2495472","null","Jordan Todman","RB","IND","RB","IND","null","0.6","null","null","null","86","null","null","0.05","null","null","null","0.6","0.6","3.8816","null",
"2495558","null","Dwayne Bowe","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495560","null","Ahmad Bradshaw","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495573","null","Scott Chandler","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2495651","null","Jacoby Jones","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495660","null","Brian Leonard","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495663","null","Marshawn Lynch","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","5.6","null","null","null","12","null","null","0.5","null","null","null","5.6","5.6","2.0258","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.36","null","null","null","37","null","null","0.02","null","null","null","0.36","0.36","null","null",
"2495801","null","Miles Austin","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495802","null","Jason Avant","WR","KC","WR","KC","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495821","null","Marques Colston","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"2495825","null","Owen Daniels","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","9.6","null","null","null","5","null","null","0.65","null","null","null","9.6","9.6","4.9688","null",
"2495838","null","Bruce Gradkowski","QB","PIT","QB","PIT","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"2495843","null","Derek Hagan","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495863","null","Tarvaris Jackson","QB","FA","QB","FA","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"2495867","null","Greg Jennings","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495888","null","Marcedes Lewis","TE","JAC","TE","JAC","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
