playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","12.54","null","null","null","20","null","null","0.08","null","null","null","12.54","12.54","5.8533","null",
"2495158","null","Leonard Hankerson","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0.4","null","null","null","127","null","null","0","null","null","null","0.4","0.4","9.7213","null",
"2495161","null","Roy Helu","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","NO","RB","NO","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","7.22","null","null","null","28","null","null","6.64","null","null","null","7.22","7.22","6.2538","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","3.5","null","null","null","24","null","null","0.25","null","null","null","3.5","3.5","4.5518","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","4.9","null","null","null","58","null","null","0","null","null","null","4.9","4.9","6.2364","null",
"2495192","null","Greg Little","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","null","9.2","null","null","null","22","null","null","0.5","null","null","null","9.2","9.2","null","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.5","null","null","null","55","null","null","0","null","null","null","0.5","0.5","9.7439","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","5.8","null","null","null","38","null","null","0.6","null","null","null","5.8","5.8","5.453","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.1","null","null","null","32","null","null","0.2","null","null","null","2.1","2.1","3.7694","null",
"2495314","null","Bruce Miller","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","4.3","null","null","null","42","null","null","0.75","null","null","null","4.3","4.3","3.4892","null",
