playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","1.29","null","null","null","80","null","null","0.195","null","null","null","1.29","1.29","8.0049","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","8.59","null","null","null","47","null","null","0.17","null","null","null","8.59","8.59","3.8665","null",
"2507828","null","Logan Paulsen","TE","CHI","TE","CHI","null","2.25","null","null","null","46","null","null","0.055","null","null","null","2.25","2.25","10.3535","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","6.47","null","null","null","71","null","null","0.11","null","null","null","6.47","6.47","4.8687","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","null","6.94","null","null","null","38","null","null","0.105","null","null","null","6.94","6.94","3.7925","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","17.45","null","null","null","1","null","null","0.945","null","null","null","17.45","17.45","1.9736","null",
"2508097","null","Andrew Hawkins","WR","CLE","WR","CLE","null","3.68","null","null","null","101","null","null","0.045","null","null","null","3.68","3.68","3.9779","null",
"2508101","null","James Develin","RB","NE","RB","NE","null","0.2","null","null","null","108","null","null","0.015","null","null","null","0.2","0.2","null","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","0.85","null","null","null","141","null","null","0.145","null","null","null","0.85","0.85","5.2584","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","7.46","null","null","null","60","null","null","0.12","null","null","null","7.46","7.46","4.0892","null",
"2530598","null","Jeremy Ross","WR","NYJ","WR","NYJ","null","0","null","null","null","174","null","null","0","null","null","null","0","0","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","4.28","null","null","null","94","null","null","0.15","null","null","null","4.28","4.28","3.3654","null",
"2530690","null","DuJuan Harris","RB","SF","RB","SF","null","2.02","null","null","null","71","null","null","0.125","null","null","null","2.02","2.02","5.2747","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","8.35","null","null","null","50","null","null","0.155","null","null","null","8.35","8.35","3.6995","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","11.71","null","null","null","17","null","null","0.185","null","null","null","11.71","11.71","3.0314","null",
"2530763","null","Patrick DiMarco","RB","ATL","RB","ATL","null","0.47","null","null","null","97","null","null","0.065","null","null","null","0.47","0.47","3.7145","null",
"2531218","null","Chase Reynolds","RB","LA","RB","LA","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"2531332","null","Terrelle Pryor","WR","CLE","WR","CLE","null","11.49","null","null","null","19","null","null","0.265","null","null","null","11.49","11.49","3.5881","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","null","7.04","null","null","null","64","null","null","0.095","null","null","null","7.04","7.04","4.3119","null",
"2532797","null","Brandon Bolden","RB","NE","RB","NE","null","0.24","null","null","null","105","null","null","0.025","null","null","null","0.24","0.24","null","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","16.848","null","null","null","16","null","null","0.275","null","null","null","16.848","16.848","4.0396","null",
"2532835","null","Rhett Ellison","TE","MIN","TE","MIN","null","2.03","null","null","null","51","null","null","0.02","null","null","null","2.03","2.03","3.4534","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","null","6.16","null","null","null","19","null","null","0.105","null","null","null","6.16","6.16","4.0086","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","null","8.24","null","null","null","51","null","null","0.125","null","null","null","8.24","8.24","4.0892","null",
"2532842","null","Nick Foles","QB","KC","QB","KC","null","0.104","null","null","null","41","null","null","0.003","null","null","null","0.104","0.104","null","null",
"2532853","null","Ladarius Green","TE","PIT","TE","PIT","null","8.03","null","null","null","12","null","null","0.51","null","null","null","8.03","8.03","5.0397","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","12.64","null","null","null","7","null","null","0.04","null","null","null","12.64","12.64","3.0314","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","null","9.71","null","null","null","33","null","null","0.055","null","null","null","9.71","9.71","7.6524","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","null","6.82","null","null","null","67","null","null","0.11","null","null","null","6.82","6.82","5.2584","null",
"2532888","null","Case Keenum","QB","LA","QB","LA","null","0.108","null","null","null","39","null","null","0.003","null","null","null","0.108","0.108","null","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","12.42","null","null","null","16","null","null","0.175","null","null","null","12.42","12.42","4.6506","null",
