antonio gates,17,7.72,3,6.83,
philip rivers,32,16.95,0,7.78,
kellen clemens,20,0.26,0,0.35,
dontrelle inman,20,5.53,2,5.03,
ronnie hillman,11,3.36,1,2.95,
travis benjamin,12,5.67,2,4.89,
sean mcgrath,10,0.92,3,0.78,
isaiah burse,10,-0.04,2,0.15,
jeremy butler,10,0.36,2,0.58,
cleveland,10,0.89,3,0.88,
melvin gordon,37,0,1,0,
geremy davis,10,0.98,2,1.00,
tyrell williams,23,11.17,2,7.72,
hunter henry,11,6.28,3,5.58,
derek watt,10,0.67,1,0.81,
kenneth farrow,12,10.78,1,7.29,
oakland,17,6.290,4,6.05,
san diego,11,5.840,4,5.08,
ben roethlisberger,34,19.37,0,9.34,
deangelo williams,13,1.43,1,1.36,
darrius heywardbey,10,0.61,2,0.81,
david johnson,10,0.5,3,0.57,
antonio brown,36,17.54,2,11.76,
ladarius green,17,7.47,3,6.54,
leveon bell,39,23.16,1,13.15,
landry jones,20,0.83,0,0.58,
cobi hamilton,10,0.69,2,0.76,
zach mettenberger,20,0,0,0,
roosevelt nix,10,0.77,1,0.84,
xavier grimble,10,0.37,3,0.50,
fitzgerald toussaint,10,1.21,1,1.50,
sammie coates,10,3.77,2,3.70,
jesse james,10,2.85,3,2.59,
eli rogers,13,4.24,2,3.87,
cedric peerman,10,1.66,1,1.82,
brandon lafell,15,8.59,2,5.74,
aj green,31,0,2,0,
andy dalton,27,16.85,0,8.26,
tyler eifert,22,11.45,3,10.57,
rex burkhead,10,4.72,1,5.18,
jeremy hill,21,14.36,1,8.47,
aj mccarron,20,0.91,0,0.72,
james wright,10,0.59,2,0.57,
tyler kroft,10,1.76,3,1.77,
cj uzomah,10,0.58,3,0.67,
tyler boyd,15,6.75,2,5.45,
cody core,10,1.06,2,1.13,
alex erickson,10,0.75,2,0.97,
pittsburgh,16,7.940,4,4.83,
cincinnati,12,6.140,4,5.12,
derek anderson,20,0.38,0,0.55,
ted ginn,16,5.76,2,4.62,
greg olsen,19,11.8,3,7.81,
jonathan stewart,22,11.12,1,7.84,
mike tolbert,10,0.65,1,1.29,
ed dickson,10,1.34,3,1.79,
joe webb,20,0,0,0,
cam newton,32,20.47,0,9.37,
brenton bersin,10,0.74,2,0.72,
fozzy whittaker,10,5.22,1,4.10,
kelvin benjamin,18,11.21,2,7.99,
devin funchess,10,3.27,2,3.35,
cameron artispayne,10,0.58,1,0.69,
vernon davis,14,5.5,3,4.41,
desean jackson,21,8.35,2,7.07,
pierre garcon,18,10.49,2,7.81,
colt mccoy,20,0.74,0,0.61,
kirk cousins,37,20.02,0,9.67,
derek carrier,10,0.25,3,0.38,
jordan reed,24,9.85,3,6.35,
chris thompson,14,4.66,1,3.88,
rashad ross,10,0.31,2,0.51,
ryan grant,10,0.16,2,0.18,
matt jones,10,1.19,1,1.75,
jamison crowder,22,9.8,2,7.16,
maurice harris,10,0.64,2,0.62,
rob kelley,19,12.49,1,7.54,
carolina,12,4.70,4,3.25,
washington,14,7.520,4,4.19,
